petal_id,device_loc,pos_id,pos_calib_index,time_recorded,bus_id,length_r1,length_r2,offset_x,offset_y,offset_t,offset_p,physical_range_t,physical_range_p,gear_calib_t,gear_calib_p,total_limit_seeks_t,total_limit_seeks_p,last_primary_hardstop_dir_t,last_primary_hardstop_dir_p,keepout_expansion_phi_radial,keepout_expansion_phi_angular,keepout_expansion_theta_radial,keepout_expansion_theta_angular,classified_as_retracted,site,calib_note,fiber_intact,device_classified_nonfunctional,zeno_motor_p,sz_cw_p,sz_ccw_p,zeno_motor_t,sz_cw_t,sz_ccw_t,petal_loc,location,offset_x_cs5,offset_y_cs5
4,396,M03529,51,2021-06-25 21:37:32.932420+00:00,can17,3.066,3.0582,383.3021,23.347,85.6980969827369,-3.88986184790053,392.107482113886,186.935791506461,1.0,1.0,162.0,162.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,"set_calibrations.py; user KF; comment New armlengths and offsetsXY from carefully taken arc data on 20210623; analysis by DJE; input_file 20210625_calib/recalibration_95734.csv; archive_ref 6400; params {'OFFSET_X': 383.3021, 'LENGTH_R2': 3.0582, 'OFFSET_Y': 23.347, 'LENGTH_R1': 3.066}",True,False,,,,,,,0,396,-96.16014428345308,-371.21495757603446
4,399,M05224,57,2021-06-25 21:37:32.932420+00:00,can17,2.9857,3.0552,367.4959,50.4092,-42.8298248473213,2.35060730656867,390.589039655642,197.035487823628,1.0,1.0,163.0,163.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,"set_calibrations.py; user KF; comment New armlengths and offsetsXY from carefully taken arc data on 20210623; analysis by DJE; input_file 20210625_calib/recalibration_95734.csv; archive_ref 6400; params {'OFFSET_X': 367.4959, 'LENGTH_R2': 3.0552, 'OFFSET_Y': 50.4092, 'LENGTH_R1': 2.9857}",True,False,,,,,,,0,399,-65.57935645563167,-364.599419802049
4,125,M05767,69,2021-06-25 21:37:32.932420+00:00,can12,3.0172,2.9678,220.9004,14.2974,-57.6421549740358,-0.376574612875424,391.34100814462,189.250982062259,1.0,1.0,165.0,165.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,"set_calibrations.py; user KF; comment New armlengths and offsetsXY from carefully taken arc data on 20210623; analysis by DJE; input_file 20210625_calib/recalibration_95734.csv; archive_ref 6400; params {'OFFSET_X': 220.9004, 'LENGTH_R2': 2.9678, 'OFFSET_Y': 14.2974, 'LENGTH_R1': 3.0172}",True,False,,,,,,,0,125,-54.61463062220042,-214.35993831060614
4,52,M06017,51,2021-06-25 21:37:32.932420+00:00,can11,3.0366,3.1148,111.3623,59.6123,50.4144038050769,0.724701418207078,393.702443492005,192.105721020838,1.0,1.0,87.0,85.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,"set_calibrations.py; user KF; comment New armlengths and offsetsXY from carefully taken arc data on 20210623; analysis by DJE; input_file 20210625_calib/recalibration_95734.csv; archive_ref 6400; params {'OFFSET_X': 111.3623, 'LENGTH_R2': 3.1148, 'OFFSET_Y': 59.6123, 'LENGTH_R1': 3.0366}",True,False,,,,,,,0,52,22.34493138424199,-124.28810669663086
4,245,M06155,51,2021-06-25 21:37:32.932420+00:00,can23,3.0247,3.0685,283.4574,50.403,118.095042752814,0.624464393107528,390.90403331958,187.604006703625,1.0,1.0,83.0,81.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,"set_calibrations.py; user KF; comment New armlengths and offsetsXY from carefully taken arc data on 20210623; analysis by DJE; input_file 20210625_calib/recalibration_95734.csv; archive_ref 6400; params {'OFFSET_X': 283.4574, 'LENGTH_R2': 3.0685, 'OFFSET_Y': 50.403, 'LENGTH_R1': 3.0247}",True,False,,,,,,,0,245,-39.631270924712474,-284.90910210358373
4,312,M04048,51,2021-06-25 21:37:32.932420+00:00,can17,3.017,3.0886,351.6631,5.3184,152.136655435695,-0.869161378928926,392.251613416181,186.064940807453,1.0,1.0,166.0,166.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,"set_calibrations.py; user KF; comment New armlengths and offsetsXY from carefully taken arc data on 20210623; analysis by DJE; input_file 20210625_calib/recalibration_95734.csv; archive_ref 6400; params {'OFFSET_X': 351.6631, 'LENGTH_R2': 3.0886, 'OFFSET_Y': 5.3184, 'LENGTH_R1': 3.017}",True,False,,,,,,,0,312,-103.52770783717759,-335.6668969827555
4,463,M05225,51,2021-06-25 21:37:32.932420+00:00,can17,2.9911,3.0321,399.3147,50.4499,30.7411780492047,0.990312296356203,392.693524458228,195.238531882851,1.0,1.0,162.0,162.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,"set_calibrations.py; user KF; comment New armlengths and offsetsXY from carefully taken arc data on 20210623; analysis by DJE; input_file 20210625_calib/recalibration_95734.csv; archive_ref 6400; params {'OFFSET_X': 399.3147, 'LENGTH_R2': 3.0321, 'OFFSET_Y': 50.4499, 'LENGTH_R1': 2.9911}",True,False,,,,,,,0,463,-75.35695480152881,-394.7426637118361
4,140,M05769,52,2021-06-25 21:37:32.932420+00:00,can12,2.9092,3.1347,215.662,41.4411,64.7531272992232,0.734778286676705,394.493400950864,191.52044107376,1.0,1.0,162.0,162.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,"set_calibrations.py; user KF; comment New armlengths and offsetsXY from carefully taken arc data on 20210623; analysis by DJE; input_file 20210625_calib/recalibration_95734.csv; archive_ref 6400; params {'OFFSET_X': 215.662, 'LENGTH_R2': 3.1347, 'OFFSET_Y': 41.4411, 'LENGTH_R1': 2.9092}",True,False,,,,,,,0,140,-27.193089470405962,-217.77731100390025
4,79,M06018,51,2021-06-25 21:37:32.932420+00:00,can11,3.0194,3.1043,132.2179,77.699,-117.111577886537,-0.703383826686394,393.456241364827,189.335494863366,1.0,1.0,88.0,86.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,"set_calibrations.py; user KF; comment New armlengths and offsetsXY from carefully taken arc data on 20210623; analysis by DJE; input_file 20210625_calib/recalibration_95734.csv; archive_ref 6400; params {'OFFSET_X': 132.2179, 'LENGTH_R2': 3.1043, 'OFFSET_Y': 77.699, 'LENGTH_R1': 3.0194}",True,False,,,,,,,0,79,33.08780996674582,-149.7044221534823
4,342,M06156,51,2021-06-25 21:37:32.932420+00:00,can15,3.1628,3.0558,309.6201,95.4945,14.2991780217136,-5.57056709082515,393.095783948327,189.093652216933,1.0,1.0,86.0,84.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,"set_calibrations.py; user KF; comment New armlengths and offsetsXY from carefully taken arc data on 20210623; analysis by DJE; input_file 20210625_calib/recalibration_95734.csv; archive_ref 6400; params {'OFFSET_X': 309.6201, 'LENGTH_R2': 3.0558, 'OFFSET_Y': 95.4945, 'LENGTH_R1': 3.1628}",True,False,,,,,,,0,342,-4.870340848412624,-323.65320654312984
